variant,threshold,ddos_f1,ddos_precision,ddos_recall,ddos_fpr_non_ddos,benign_fpr,scan_fpr_non_scan,score_99_9
V2,0.16,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.17,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.18,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.19,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.2,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.21,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.22,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.23,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.24,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.25,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.26,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.27,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.28,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.29,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.3,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.31,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.32,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.33,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.34,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.35000000000000003,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.36,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.37,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.38,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.39,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.4,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.41000000000000003,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.42,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.43,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.44,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.45,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.46,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.47000000000000003,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.48,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.49,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.5,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.51,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.52,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.53,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.54,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.55,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.56,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.5700000000000001,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.58,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.59,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.6,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.61,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.62,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.63,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.64,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.65,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.66,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.67,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.68,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.6900000000000001,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.7000000000000001,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.71,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.72,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.73,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.74,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.75,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.76,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.77,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.78,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.79,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.8,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.81,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.8200000000000001,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.8300000000000001,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.84,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.85,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.86,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.87,0.004024635136157019,0.0021871626792423194,0.025172370301858236,0.54500775389453,0.5656546635846975,0.0,0.9953634738922119
V2,0.88,0.004298257814708297,0.002349741626531379,0.025172370301858236,0.5072159353630963,0.5180703401750858,0.0,0.9953634738922119
V2,0.89,0.004298257814708297,0.002349741626531379,0.025172370301858236,0.5072159353630963,0.5180703401750858,0.0,0.9953634738922119
V2,0.9,0.004298257814708297,0.002349741626531379,0.025172370301858236,0.5072159353630963,0.5180703401750858,0.0,0.9953634738922119
V2,0.91,0.004298257814708297,0.002349741626531379,0.025172370301858236,0.5072159353630963,0.5180703401750858,0.0,0.9953634738922119
V2,0.92,0.004298257814708297,0.002349741626531379,0.025172370301858236,0.5072159353630963,0.5180703401750858,0.0,0.9953634738922119
V2,0.93,0.004298257814708297,0.002349741626531379,0.025172370301858236,0.5072159353630963,0.5180703401750858,0.0,0.9953634738922119
V2,0.9400000000000001,0.004298257814708297,0.002349741626531379,0.025172370301858236,0.5072159353630963,0.5180703401750858,0.0,0.9953634738922119
