population,stage,head,feature,mean_abs_SHAP_log_odds,mean_signed_SHAP_log_odds,n
CICIDS_benign_DDoS_FP,meta,PORT_SCAN,base_PORT_SCAN,5.358565807342529,-5.295770168304443,512
CICIDS_benign_DDoS_FP,meta,PORT_SCAN,base_DATA_EXFILTRATION,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,PORT_SCAN,present_DDoS,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,PORT_SCAN,present_PORT_SCAN,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,PORT_SCAN,present_DATA_EXFILTRATION,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,PORT_SCAN,visibility,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,PORT_SCAN,history_count,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,PORT_SCAN,history_duration_ms,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,PORT_SCAN,window_complete,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,PORT_SCAN,baseline_mature,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,PORT_SCAN,drift,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,PORT_SCAN,queue_age,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,PORT_SCAN,score_entropy,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,PORT_SCAN,score_margin,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,PORT_SCAN,score_disagreement,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,PORT_SCAN,energy,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,PORT_SCAN,ae_error,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,PORT_SCAN,iforest,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,PORT_SCAN,prototype_distance,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DATA_EXFILTRATION,base_DDoS,0.005325877573341131,-0.005325877573341131,512
CICIDS_benign_DDoS_FP,meta,DATA_EXFILTRATION,base_PORT_SCAN,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DATA_EXFILTRATION,base_DATA_EXFILTRATION,5.435947418212891,-4.844119071960449,512
CICIDS_benign_DDoS_FP,meta,DATA_EXFILTRATION,present_DDoS,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DATA_EXFILTRATION,present_PORT_SCAN,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DATA_EXFILTRATION,present_DATA_EXFILTRATION,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DATA_EXFILTRATION,visibility,0.30426836013793945,0.0791575163602829,512
CICIDS_benign_DDoS_FP,meta,DATA_EXFILTRATION,history_count,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DATA_EXFILTRATION,history_duration_ms,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DATA_EXFILTRATION,window_complete,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DATA_EXFILTRATION,baseline_mature,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DATA_EXFILTRATION,drift,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DATA_EXFILTRATION,queue_age,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DATA_EXFILTRATION,score_entropy,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DATA_EXFILTRATION,score_margin,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DATA_EXFILTRATION,score_disagreement,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DATA_EXFILTRATION,energy,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DATA_EXFILTRATION,ae_error,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DATA_EXFILTRATION,iforest,0.0,0.0,512
CICIDS_benign_DDoS_FP,meta,DATA_EXFILTRATION,prototype_distance,0.0,0.0,512
simulation_benign,base,DDoS,flow.packet_count,0.0,0.0,641
simulation_benign,base,DDoS,flow.duration_s,0.0,0.0,641
simulation_benign,base,DDoS,flow.pps,5.358565807342529,-5.358565807342529,641
simulation_benign,base,DDoS,flow.iat_s_mean,0.0,0.0,641
simulation_benign,base,DDoS,flow.iat_s_min,0.0,0.0,641
simulation_benign,base,DDoS,flow.iat_s_max,0.0,0.0,641
simulation_benign,base,DDoS,flow.psh_count,0.0,0.0,641
simulation_benign,base,DDoS,flow.urg_count,0.0,0.0,641
simulation_benign,base,DDoS,flow.rst_count,0.0,0.0,641
simulation_benign,base,DDoS,mask:flow.packet_count,0.0,0.0,641
simulation_benign,base,DDoS,mask:flow.duration_s,0.0,0.0,641
simulation_benign,base,DDoS,mask:flow.pps,0.0,0.0,641
simulation_benign,base,DDoS,mask:flow.iat_s_mean,0.0,0.0,641
simulation_benign,base,DDoS,mask:flow.iat_s_min,0.0,0.0,641
simulation_benign,base,DDoS,mask:flow.iat_s_max,0.0,0.0,641
simulation_benign,base,DDoS,mask:flow.psh_count,0.0,0.0,641
simulation_benign,base,DDoS,mask:flow.urg_count,0.0,0.0,641
simulation_benign,base,DDoS,mask:flow.rst_count,0.0,0.0,641
simulation_benign,base,DDoS,latent_0,0.0,0.0,641
simulation_benign,base,DDoS,latent_1,0.0,0.0,641
simulation_benign,base,DDoS,latent_2,0.0,0.0,641
simulation_benign,base,DDoS,latent_3,0.0,0.0,641
simulation_benign,base,DDoS,latent_4,0.0,0.0,641
simulation_benign,base,DDoS,latent_5,0.0,0.0,641
simulation_benign,base,DDoS,latent_6,0.0,0.0,641
simulation_benign,base,DDoS,latent_7,0.0,0.0,641
simulation_benign,base,DDoS,latent_8,0.0,0.0,641
simulation_benign,base,DDoS,latent_9,0.0,0.0,641
simulation_benign,base,DDoS,latent_10,0.0,0.0,641
simulation_benign,base,DDoS,latent_11,0.0,0.0,641
simulation_benign,base,DDoS,latent_12,0.0,0.0,641
simulation_benign,base,DDoS,latent_13,0.0,0.0,641
simulation_benign,base,DDoS,latent_14,0.0,0.0,641
simulation_benign,base,DDoS,latent_15,0.0,0.0,641
simulation_benign,base,DDoS,latent_16,0.0,0.0,641
simulation_benign,base,DDoS,latent_17,0.0,0.0,641
simulation_benign,base,DDoS,latent_18,0.0,0.0,641
simulation_benign,base,DDoS,latent_19,0.0,0.0,641
simulation_benign,base,DDoS,latent_20,0.0,0.0,641
simulation_benign,base,DDoS,latent_21,0.0,0.0,641
simulation_benign,base,DDoS,latent_22,0.0,0.0,641
simulation_benign,base,DDoS,latent_23,0.0,0.0,641
simulation_benign,base,DDoS,latent_24,0.0,0.0,641
simulation_benign,base,DDoS,latent_25,0.0,0.0,641
simulation_benign,base,DDoS,latent_26,0.0,0.0,641
simulation_benign,base,DDoS,latent_27,0.0,0.0,641
simulation_benign,base,DDoS,latent_28,0.0,0.0,641
simulation_benign,base,DDoS,latent_29,0.0,0.0,641
simulation_benign,base,DDoS,latent_30,0.0,0.0,641
simulation_benign,base,DDoS,latent_31,0.0,0.0,641
simulation_benign,base,DDoS,energy,0.0,0.0,641
simulation_benign,base,DDoS,ae_error,0.0,0.0,641
simulation_benign,base,DDoS,iforest,0.0,0.0,641
simulation_benign,base,DDoS,prototype_distance,0.0,0.0,641
simulation_benign,base,PORT_SCAN,flow.packet_count,0.0,0.0,641
simulation_benign,base,PORT_SCAN,flow.duration_s,0.0,0.0,641
simulation_benign,base,PORT_SCAN,flow.pps,0.0,0.0,641
simulation_benign,base,PORT_SCAN,flow.iat_s_mean,0.0,0.0,641
